Asset ID,Asset title,Asset type,Location,Pagedip Handle,Time Stamp,Country,State,City,Client session ID,Device type,Media Title,Media Template,Event,Time on page when interaction happened,Tab-It name,Tab-It interaction,Tab label,Tab number,Length of time visible,Slider name,Slider interaction,Slide index,Slide direction,Overlay interaction,Overlay url,Time spent in overlay,Card deck title,Card title,Card interaction,Time spent in card,Bink label,Bink interaction,Time left open,Button Label,Button URL,Table of contents event,Table of contents item URL,Back/Next Direction,Back/Next to Page,Image src,Video time,Link Label,Link URL,External,Sales Contacts Link Label,Sales Contacts Link URL
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:40:41.017Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,Desktop Types,media-tab-it,tab-change,101281,Desktop Types,tab-change,Power Users,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:40:55.810Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,Desktop Types,media-tab-it,tab-change,116029,Desktop Types,tab-change,Engineering Professionals,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:20.137Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,User types Tab-It,media-tab-it,tab-change,37831,User types Tab-It,tab-change,Knowledge workers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:22.771Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,User types Tab-It,media-tab-it,tab-change,39670,User types Tab-It,tab-change,Power users,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:24.912Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,User types Tab-It,media-tab-it,tab-change,42629,User types Tab-It,tab-change,Engineering professionals,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:29.725Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,5 reasons Slider,theme-media-slider,click-slide,47344,,,,,,5 reasons Slider,click-slide,1,right,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:30.724Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,5 reasons Slider,theme-media-slider,click-slide,48429,,,,,,5 reasons Slider,click-slide,2,right,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:31.818Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,5 reasons Slider,theme-media-slider,click-slide,49529,,,,,,5 reasons Slider,click-slide,3,right,,,,,,,,,,,,,,,,,,,,,,,
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T21:42:32.916Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop,5 reasons Slider,theme-media-slider,click-slide,50628,,,,,,5 reasons Slider,click-slide,4,right,,,,,,,,,,,,,,,,,,,,,,,
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T22:51:06.482Z,United States,Washington,Federal Way,0c9b0411-65be-4ce5-9a18-3b4627167da7,mobile phone,anchor,anchor,link-click,15772,,,,,,,,,,,,,,,,,,,,,,,,,,,,hpe.com/us/en/greenlake.html,,,,
