Asset ID,Asset title,Asset type,Location,Pagedip Handle,Time Stamp,Country,State,City,Client session ID,Device type
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-03T07:17:28.070Z,Germany,Hesse,Frankfurt am Main,569c137d-2ab3-45b5-b166-7b1dbf8161d9,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T07:38:59.778Z,South Africa,Gauteng,Johannesburg,7088f5ff-f8de-44a3-b266-9a45799f95e7,mobile phone
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/hpe-greenlake-central-service-brief,accelerate-your-hybrid-transformation,2022-02-03T10:23:32.222Z,India,Karnataka,Bengaluru,f73d6366-c99a-4f4b-b198-9f19a16d2c54,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-03T10:40:34.265Z,India,Chandigarh,Chandigarh,95a0d0ea-a016-4826-b1f8-daf6a433773f,desktop
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-02-03T13:35:17.839Z,United States,Virginia,Gainesville,596ac7af-b439-46ab-980f-d7fb4d97d8b6,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T14:56:39.280Z,Romania,Iasi,Iasi,768eb6c3-c511-4e55-9088-b205590ec116,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T14:57:03.879Z,Romania,Iasi,Iasi,d6dcabbe-b100-4861-b392-cd47c7a0dd90,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T14:58:30.655Z,Romania,Iasi,Iasi,636fef9d-bb39-42a6-a5b6-4d8198bd910b,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-02-03T14:59:01.198Z,Romania,Iasi,Iasi,f67a8cce-0e7c-4a08-85e1-7e786c16de41,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-02-03T15:03:49.315Z,United States,Arkansas,Little Rock,f5a413e0-e2d6-461f-acb3-2c77ceb215cd,mobile phone
a00067350enw,"Give Your Business the Freedom to Move with Speed, Agility, and Efficiency",Infographic,https://greenlake.hpe.pagedip.com/give-your-business-the-freedom-to-move-with-speed-agility-and-efficiency/,give-your-business-the-freedom-to-move-with-speed-agility-and-efficiency,2022-02-03T15:32:57.271Z,United States,North Carolina,,f98d5a02-7a0d-4334-8f33-61ea1b058f8c,mobile phone
